City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,tataouine,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
86,rio san juan,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
87,jamestown,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
88,weno,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
89,raahe,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
90,hong kong,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
91,sao vicente,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
92,uturoa,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
93,kirakira,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
94,gobabis,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
95,lompoc,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
96,belyayevka,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
97,emerald,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
98,kailua-kona,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
99,egilsstadir,22.3756,57.5233,39.67,24,4,3.53,OM,1693475235
100,dundaga,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
101,kati,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
102,stanley,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
103,campo maior,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
104,fort bragg,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
105,uaboe,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
106,mount isa,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
107,omalur,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
108,chinde,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
109,korla,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
110,betio village,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
111,hami,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
112,dudinka,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
113,thompson,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
114,ipueiras,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
115,north platte,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
116,viedma,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
117,shache,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
118,wanning,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
119,cockburn town,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
120,tsiombe,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
121,padang,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
122,dubbo,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
123,north battleford,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
124,ataq,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
125,sadjoavato,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
126,utrik,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
127,port lincoln,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
128,suva,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
129,aasiaat,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
130,mugia,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
131,fuvahmulah,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
132,fale old settlement,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
133,hobyo,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
134,tazovsky,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
135,castillos,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
136,lashio,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
137,cinisi,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
138,katsuren-haebaru,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
139,kone,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
140,khost,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
141,tweed heads,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
142,severo-yeniseyskiy,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
143,nemuro,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
144,argo,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
145,makueni boma,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
146,keflavik,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
147,la passe,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
148,chernyshevskiy,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
149,saiha,57.5167,22.35,18.05,83,100,2.71,LV,1693475431
150,atafu village,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
151,hermanus,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
152,kasongo-lunda,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
153,jayapura,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
154,fort mcmurray,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
155,amos,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
156,kamyzyak,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
157,sinjai,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
158,hayma',-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
159,constantia,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
160,puerto aysen,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
161,kot sultan,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
162,atar,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
163,la paz,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
164,laguna,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
165,zyryanskoye,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
166,hammerfest,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
167,kargil,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
168,sinabang,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
169,enewetak,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
170,prachin buri,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
171,oskarshamn,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
172,arraial do cabo,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
173,covington,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
174,san jose village,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
175,vorgashor,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
176,uttar char fasson,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
177,mamuju,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
178,iisalmi,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
179,dehui,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
180,isola di capo rizzuto,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
181,lengshuitan,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
182,port augusta,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
183,sirre,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
184,ola,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
185,beau vallon,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
186,kalmunai,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
187,vanino,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
188,touros,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
189,nogliki,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
190,talara,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
191,yeppoon,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
192,makhambet,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
193,torghay,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
194,kempsey,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
195,yinchuan,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
196,novyy urgal,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
197,ceeldheer,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
198,cocachacra,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
199,yugorsk,-8.5421,-172.5159,28.53,77,16,6.58,TK,1693475431
200,crane,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
201,kulia village,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
202,bejubang dua,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
203,callao,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
204,kristiansund,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
205,belomorsk,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
206,kerikeri,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
207,mount pearl,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
208,bel ombre,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
209,drochia,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
210,jurilovca,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
211,toliara,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
212,haiku-pauwela,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
213,santa ana,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
214,iskateley,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
215,saldanha,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
216,gizo,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
217,licheng,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
218,richards bay,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
219,saint-philippe,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
220,queenstown,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
221,daxing,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
222,afaahiti,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
223,key largo,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
224,vilyuchinsk,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
225,brokopondo,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
226,tashla,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
227,glenwood springs,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
228,muisne,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
229,gadani,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
230,yanchep,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
231,twon-brass,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
232,miri,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
233,udachny,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
234,menongue,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
235,fisterra,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
236,geraldton,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
237,al abyar,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
238,sitka,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
239,yoko,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
240,tazacorte,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
241,bikenibeu village,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
242,okmulgee,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
243,alotau,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
244,vico del gargano,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
245,manfredonia,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
246,tarko-sale,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
247,harrai,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
248,polyarnyy,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
249,luderitz,31.3974,-102.3501,25.65,37,0,2.95,US,1693475432
250,eenhana,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
251,san luis de la loma,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
252,san antonio de pale,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
253,bredasdorp,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
254,nishinoomote,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
255,darwin,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
256,copala,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
257,isna,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
258,acarau,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
259,saint croix,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
260,labytnangi,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
261,portland,-17.4667,16.3333,30.25,9,0,3.34,NA,1693475408
